character,unique words
Cartman,172663
Stan,92489
Kyle,85106
Randy,41598
Butters,39728
Mr. Garrison,19796
Chef,14879
Mr. Mackey,14300
Sharon,11434
Jimmy,11172
Jimbo,9200
Announcer,9189
Gerald,8958
Wendy,7906
Kenny,7807
Sheila,7521
Liane,6988
Mrs. Garrison,6459
Stephen,6212
Narrator,5742
Jesus,4906
Principal Victoria,4850
Reporter,4611
Mayor,4301
Craig,3911
Michael,3898
Satan,3833
Linda,3598
Clyde,3374
Doctor,3293
Terrance,3258
Token,3245
Chris,3190
Ms. Choksondik,3105
Dr. Doctor,3092
Coon,3088
Field Reporter,2908
Scott,2817
Bebe,2682
Woman,2532
Mephesto,2514
Yates,2510
Pip,2509
Phillip,2502
Mr. Hankey,2501
Man,2444
Anchor,2292
Shelly,2280
Officer Barbrady,2266
General,2234
Tweek,2201
Priest Maxi,2042
Barbrady,2017
Tom,2003
Kanye,1990
Stuart,1987
Mysterion,1840
Towelie,1838
President,1824
Nathan,1808
Mayor McDaniels,1797
Mark,1705
Pete,1702
Ike,1646
Thomas,1634
Clerk,1610
Singers,1534
Singer,1486
Steve,1433
Saddam,1381
Russell Crowe,1349
Tuong Lu Kim,1336
Man 1,1334
Rob Reiner,1322
Big Gay Al,1318
Steven,1317
Producer,1293
Skeeter,1273
Driver,1230
Mrs. McCormick,1229
The Coon,1207
Al Gore,1203
Marvin,1189
Man 2,1182
Gary,1181
Stephen Abootman,1167
Obama,1154
Tom Cruise,1144
Manager,1140
Joe,1117
Rick,1097
Minister,1096
News Anchor,1093
Mingie,1073
Sgt. Yates,1072
Director,1071
Santa,1070
Henrietta,1054
Dr. Janus,1020
Coach,1017
Michael Chertoff,1016
Officer 1,1015
Kyle Two,1012
Dr. Chinstrap,1004
Janet,995
Skyler,990
Dean,987
Jared,949
Larry,949
Timmy,942
Anchorman,941
Mr. Connolly,938
Josh,937
Richard Tweak,924
Ms. Crabtree,908
Mr. Slave,905
Judge,899
Cesar,899
Richard,897
Brian,864
Mr. Adler,846
Darryl Weathers,840
Receptionist,840
Choir Teacher,839
Host,836
Mimsy,821
Tour Guide,818
Manson,812
Red,809
Agent,798
Pocket,798
Paris,792
Mr. Gueermo,790
Mr. Adams,790
Mr. Kim,786
Ned,785
Professor Chaos,780
John Edward,770
Peter,760
Niles,749
Dr. Adams,744
Murphy,740
Travis,735
Mint-Berry Crunch,730
Herbert Garrison,728
Man 3,726
Commander,715
Mackey,711
Squirt leader,705
Maury,702
Mechanic,699
Alien,695
Miss Stevens,691
Jonathan,686
Chairman,684
Captain,679
Captain Hindsight,679
Det. Harris,674
Dougie,671
Mickey,666
Tuong,662
Phil,660
DJ,650
Bill,650
Grandpa,647
Ms. Ellen,644
Smith,643
Oprah,635
Aslan,634
Frank,630
Mr. Hat,629
Kids,628
Mr. Kincade,628
Petey,626
Mr. Weatherhead,624
Officer,622
Record Executive,618
Lead Biker,617
Bush,612
Barbra Streisand,610
Shake Weight,609
Billy,608
Mitch Conner,606
Sister Anne,606
Dr. Biber,596
Operator,595
Toolshed,590
Teresa,588
Dawson,588
Romper Stomper,584
A British Person,583
Dad,580
Miles,579
Steve Jobs,574
Loogie,571
Mr. Wyland,571
Attorney,568
BSM-471,567
Dr. Mephesto,565
MC,564
Ms. Havisham,563
Mr. Dawkins,562
Pi Pi,560
Hansen,560
Father Maxi,555
Jeff,554
Grampa,554
Fanciful Mayor,553
Kelly,547
Crowd,543
Mr. Nelson,540
Officer 2,539
Time Child,537
Ugly Bob,534
Mitchell,532
Mr. Cotswolds,529
GRRM,528
Morpheus,528
Elder Garth,526
Teacher,520
Glen Dumont,519
Rancher,519
Lamond,516
Lawyer,514
Jakov,512
Runs with Premise,510
Woman 1,508
THC President,506
Funnybot,505
Miss Stevenson,503
Michelle,502
Martha,500
The Mayor,500
Nurse Gollum,499
Jennifer Lopez,498
Research Leader,485
Mike,480
Leonard Maltin,479
FOX President,478
Detective,478
Boy,478
Garrison,477
Governor,475
Pioneer Paul,471
Tammy,470
Guard,462
Roger,461
Connelly,456
P.F. Pityef,455
Lamont,454
Reeve,454
Phil Collins,454
Pat,452
Chief elder,451
Nelson,450
God,449
Stella,449
Mr. Evans,448
Leader,446
Boy 1,446
Frog King,445
Betsy,442
Teabag,441
Mr. Meryl,441
Tad,439
Corey,437
Tony Hayward,435
The Boys,434
Aussie,432
NAMBLA Leader,429
Kevin,428
Aide,427
Priest,426
Vampir,424
Cochran,424
Mel,421
Bishop,421
Rebecca,420
Nurse,420
Butler,419
Voice,417
Nichole,417
Father,417
Steven Spielberg,417
Therapist,415
Pearl,413
Broloff,413
Dr. Hallis,411
Townsfolk,411
Grammy,411
Morgan Freeman,409
Estella,405
Dan Snyder,405
Aide 1,405
Human Kite,405
Singer (background singers),404
Record Producer,404
Leslie,401
Greenfield,400
Jim Rome,399
Aide 2,398
Frans,398
Lisa,396
David,396
Boys,396
Future Stan,394
Man 4,393
Assistant,389
Blonde,389
Reporter 2,389
Lexus,388
Blaine,386
Pharmacist,385
Bridon,385
Dr. Lott,384
Terry,380
Howard,378
James Cameron,376
Mercedes,376
Postum,376
Older man,376
Jack,372
Evil Cartman,372
Jason,372
Shvek,372
Researcher,371
Tong Leader,371
Woman 2,368
Expert 9,366
Sphinx,366
Commentator,366
HBC President,365
Mr. Garrison Sr.,364
Gates,364
Bono,364
Robert,361
Canadians,361
Nerd #1,360
Chief,359
Balding Man,358
Cashier,357
Blanket,356
Water Tester,352
Elton,352
Rancher Bob,350
Netzel,349
Thumper,348
Security Guard,348
Mrs. Tweak,346
Ron,344
Speaker,343
Billy Mays,342
Ranger McFriendly,341
Damien,339
Homeless Advisor,336
Clinic Doctor,336
Miss Information,334
Trent,333
Keenan,333
Bradley,333
Bob,333
Truck Driver,330
Poe,330
Scott Tenorman,329
Ben,328
All,327
McCain,327
Jonas Brothers,327
Board Rep,325
Mr. Grazier,324
Sally,323
Harry,323
Abraham Lincoln,321
Allyson,320
Dr. Phillips,319
Teller,318
Barker,317
Border Officer 2,315
Hollis,314
PewDiePie,313
Coach Connors,313
Mrs. Garthunk,312
Fiancée,311
Pamphleteer,311
Mr. Foley,310
Judge Julie,310
Pilot,309
Mr. Donaldson,309
Mom,309
Joozian 1,308
Nelly,308
Brunet,308
Scientist,306
Old Cap,305
Mr. Thompson,305
Anchor Tom,304
Mosquito,304
Blavius,303
Dr. Roberts,303
President Hirohito,302
ATF lead,301
Jambu,300
Emperor Akihito,299
Girl,299
Tom Vilsack,298
Bus Driver,298
Catatafish,298
Gary Sr.,296
Official,296
Soldier,294
Sixth Grader 1,292
Tough Guy 1,292
Mr. Billings,290
Prince,289
John Garner,288
Ganz,288
El Presidente,288
Lead Scientist,287
Kyle Schwartz,287
Bundy,285
New Cartman,285
Cable Guy,285
DOI 1,284
Geoff Hamill,283
Robert Pooner,283
Rabbi 1,282
Larry King,282
Frederick,281
Doctor Pal,281
Will Smith,281
Network President,280
Photographer,280
Man 5,280
Harris,279
Bucky Bailey,279
Guard 2,278
Worker,277
Roy,277
Casey,276
Smalls,275
Boombox,275
Prof. Thomas,275
Waitress,275
Pinkerton,274
Katherine,274
UAA Leader,274
Newscaster,274
Mr. Takiyama,269
President Obama,268
Flight Attendant,268
M.C.,268
Jenny,268
Italian Cardinal,267
Ryan,267
Bob Saget,267
Lady Member,267
Geraldo,266
Choir,266
Veteran Guard,265
Harrison Moore,265
Partner,265
Matt,265
The Ghost of Human Kindness,263
Agent 2,262
Dan,260
Boy 2,260
Polly Prissypants,260
Barkeep,259
Heidi,257
Blond,256
Man with Terrible Skin Condition,256
Aaron Brown,255
Passenger,253
Nerd #2,252
Plex,251
Agent 1,250
Class,250
Worker 1,249
Det. Yates,249
Gardener,248
Nut Gobbler,248
Elder,247
Instructor,247
Charlie Rose,247
Moses,246
Mama,246
BB Founder,241
Karen,241
Chief David,241
Lola,240
Cornwallis,239
Mr. Ose,239
Announcer 1,238
Michael Deets,238
Elderly Woman,238
FBI Agent,238
KKK Leader,238
Camp Warden,237
Worker 2,235
The Doctor,234
McGee-zax,232
Officer 3,232
Martha Stewart,229
Junichi,229
McDonald's Exec,229
Kanye (backup singers),229
Squirrely,228
Researcher 1,228
Mickey Mouse,227
Reporter 1,226
Janet Reno,224
The Colonel,224
Member 1,224
Veronica,223
Dr. Oz,223
Kip,223
Man 7,223
Robert Redford,221
Mitch,219
Reporter 3,219
Ballmer,218
Voice-over,218
Kyle 1,218
Kurt Russell,217
Celine Dion,217
ESPN Host,217
News 4 Reporter,216
President Wulff,216
Cruise,216
A voice,216
Palin,215
Ticket Salesman,215
Wife,215
Alien Man,214
Coordinator,213
Jeff VanVonderen,213
Thom,213
Girl in Pink,212
George Lucas,211
Guide,210
Grandma,209
Homeowner,209
Cpt. Taylor,209
Fat Abbot,208
Joseph Smith,208
Gingers,208
Expert 4,208
Secretary,207
Sergeant,207
Brandon Carlile,206
Brunette,206
Charlie,206
Alec Baldwin,206
Stewart,206
Snetzl,205
SNN Anchor,205
Mime,205
Red Goth,205
ALF Leader,205
Janitor/Farmer 1,205
Akmarh,204
Mr. Testaburger,204
Comedian,203
Filmore,203
Tiger,202
Man with Foot on Head,202
SWAT Officer 2,201
Porsche,201
Hamlet,201
Puff Daddy,200
Kevin Harris,200
Kurt Loder,199
Harvey Brown,198
Spielberg,198
Fire Marshal,198
UPS Man,198
Cody,197
Man 6,197
Disfigured Country Singer,197
Ted Koppel,195
Security Agent,195
President Bush,195
Hillary,194
Elise,193
Director 2,192
Chief Running Pinto,192
Brett,191
Autumn,190
SNN Reporter,189
Vice President,189
A Boy,188
"Stan, Kyle",188
An old farmer,188
Miner 1,188
Chinese Commentator,187
TV Announcer,187
Magic,187
Jeffrey,186
Wall-Mart,186
Warden,186
Tall Goth,185
Chief Justice,183
Firkle,183
Fieldy,183
Fosse,183
Grandmama,183
Polly,183
Laura,182
Specialist,182
Singer (and backup singers),181
Aide 3,181
DA,180
Anchorman Tom,180
Older Man,179
Creamy Goodness,179
Canadian PM,178
Fire Captain,178
Townsman,177
Mrs. Testaburger,176
Referee,176
Osama bin Laden,176
Mr. Garrett,176
Mr. Fun,175
Mr. Brown,175
Joozian 2,173
Black Vamp,173
CNN Anchor,173
Vladimir,172
DiCaprio,172
Stagehand,172
Head Scoutmaster,171
The Kids of South Park Elementary,171
Reporter Chris,171
Blond Man,170
Guard 1,170
Head of Programming,169
Dan Akawa,168
Tony,168
Chief Running Water,168
Sally Struthers,168
Scientist 1,168
Tucker,168
Shawna,167
Gnome 2,167
Both,166
Goodell,166
Katie,165
Audience,165
Mr. Hardly,165
Elder 1,164
Hotline Voice,164
Intruder,164
Sarah,163
Xerxes,163
Clinton,163
Counselor,163
Chief of Security,163
Lolly,163
Mr. Stevenson,163
Chief Aide,163
Carlos Mencia,162
Bill Cosby,162
Aunt Flo,162
Beavery,162
Jonesy,161
Quincy,161
Apple Man 1,161
Brad Morgan,161
Mrs. Biggle,160
Pope Benedict,160
Sandy Cervix,160
Dr. Phil,160
Mr. Peters,160
Buff Crip,160
Richards,159
Mencia,159
Mr. Feegan,159
Director 3,158
DOI 2,158
Sondheim,158
Cardinal Mahoney,158
Blonde Girl,157
Luke Skywalker,157
Trainer,157
Rosie O'Donnell,157
Laborer 1,157
Mrs. Miller,156
General Tso,156
Elderly Man,156
Sixth Grade Leader,156
A Voice,155
Glen,155
Dr. Neeland,155
Bill O'Reilly,154
Big Harry,154
Demon 1,153
Cheerleaders,153
Boy in Blue Vest,153
Student,152
R. Kelly,152
Expert 1,152
Dr. Carroll,151
Fingerbang,151
Chris Martin,151
Lead tech,151
"You And Me, Girl",151
Saddam Hussein,151
Person,150
Eric Cartman,150
Player,150
Promoter,150
Clean Garrison,150
The Tape,150
Critters,149
Sorcerer,149
BHI President,149
Mrs. Stevens,149
Pat Sajak,149
Specialist 1,148
Chubby Official,148
Howard Stern,148
Ms. Garrison,148
Mr. Sanders,148
Mother,148
GS-401,147
Gnome,147
Michelle Obama,147
Hispanic Reporter,147
Man 8,147
NAMBLA leader,147
Marty,147
Chief Joe,147
Executor,146
Snoop Dogg,146
Chet,146
Executive 1,146
Mr. Biggle,146
Iraqi General,146
Annie,145
Mrs. Joe,145
Laertes,145
Mr. Donovan,145
Emir,144
Mr. Streible,144
Greg Nimins,144
MJ's hologram,144
Gerry,144
Clerk 4,143
Scientist 2,143
Bebe's Mom,143
Nicole,143
Spokesman,142
Medic,142
Mailman,141
Janitor,141
Johnson,141
Rebecca Turnod,141
Field Reporter 1,141
Pilgrim King,140
Chris Swollenballs,140
Transient Man 5,140
Cliff,140
Farmer,140
Alan Jackson,140
Minstrel,140
Galeed,140
Man 10,139
Vanity,139
Randy Newman,139
Officer 4,139
Driver 2,139
John Ramsey,139
Giant Douche,139
Breeder,138
Dentist,138
Publisher,138
Hackman,138
Girl 1,137
Police Chief,137
Pharaoh,137
Older Boy,137
Honey Boo Boo,137
Det. Jarvis,136
Dr. Katz,136
OC Leader,136
Tyler Perry,135
Publisher 1,135
Maggie,135
Conductor,133
Prosecutor,133
Girls,133
Group,132
Chad,132
Foofa,132
Profile Stan Marsh,132
Mohammad,132
Announcer 2,131
Bob Thomas,131
Nagix,131
Christine,130
Freddy Krueger,130
Beary,130
Jim Brown-ish,129
Mr. Hakeem,129
Anthropologist,128
President Clinton,128
Husband,126
Tom Snyder,126
French Captain,126
Dr. Schwartz,126
Nurse Bronski,126
Unkempt Garrison,126
Seaman,126
Anchor Man,125
Mrs. Garrison Sr.,125
Britney,125
Paul Stanley,125
Master,125
Cupid Me,125
Cameraman,125
Wayne D,124
Ex-Convict,124
Mary,124
Resident 4,124
Hooded Figure,124
MJ Hologram,123
Carol,123
Refugee Man 5,123
Smithy,122
Woman 3,122
Iggy,122
Mediator,122
Lollipop King,121
Boss,121
Sparrow Prince,121
Biker 6,121
Publisher 2,121
Jesse Jackson,121
Marcus,121
Man 11,120
George Zimmerman,120
Susan,120
Number 37,120
Chef's dad,119
Mrs. Farnickle,119
Krishna,119
Gabriel,119
Ohrlich,119
Rumpertumskin,119
"The New Lyrics, part II",119
Aging Hippie Liberal Douche,119
Chris Holt,119
Franklin,119
Teen Boy 6,118
Social Worker,118
Official 1,118
Squirrelly Squirrel,117
Nellie,117
Marklar,117
Boy In The Red Shirt,117
Michael Dorn,117
Mrs. Turner,117
SNN Correspondent,117
Elephant Man,117
Yoko Ono,116
R. Wiley,116
Amanda,116
Moroni,116
William,115
Adams,115
Lead Knight,115
Bartender,115
Bat Dad,115
Cult Leader,115
Head,114
NC 9 Reporter,113
Perseus,113
Ghost 2,112
Kenny's Mom,112
King,112
Talent Scout,112
John Warzog,112
Agent Clark,111
Subway Representative,111
Owner,111
Larsen,111
Gavin,110
Putin,110
Natalie,110
Pablo,110
Elon Musk,110
Beefcake,110
Gnome 1,110
Sawitsky,109
Jeffrey Maynard,109
Carlos Ramirez,109
Chef (falsetto),109
Biker 2,109
Man in Wheelchair,109
Dickinson,109
Dr. Shay,109
Jabs,108
Elin,108
Waiter,108
Quint 3,108
Lou,108
Clerk 2,108
Sarah McLachlan,108
Bart,108
Sir Harrington,108
The Scenes,108
Dave,107
EFSM President,107
Peterson,107
Female Voice,107
Resident 1,107
Mall Bunny,107
Officer 5,107
Little Chef,106
Mick,106
Sixth Grader 2,106
Boy in Green Shirt,106
Great-Great-Grampa,106
Actors,106
Female Psychic,106
Judge Moses,105
Steve Black,105
Rabbi,105
Van Gelder,104
CIA Leader 2,104
Center Judge,104
Demon 3,104
SP Cabbie,103
Turd Sandwich,103
Volunteer 2,103
Alex,103
Vet,103
News 4 Anchor,103
Babrady,102
Men,102
Man 9,102
Manymoons,102
Lead Agent,101
Adam Sandler,101
Jakartha,101
Stockbroker,100
Mrs. Weatherhead,100
Redneck 13,100
Elder 2,100
Mr. Jabs,100
Teen Girl,100
Doctor 2,100
Paul,99
Chocolate Rain Guy,99
Jim Lehrer,99
Lead Screener,99
Fireman 2,99
Lt. Nelson,99
Q Money,98
African-American,98
Gloria Allred,98
Cast,98
With Choir,98
Ozzy,97
Mr. Twig,97
Fifth Grader,97
FC Pitcher,97
Foreman,97
Lawrence,97
The KKK,96
CNN Reporter,96
Soldier 2,96
The New Lyrics,96
Pimp,96
Voice-Over,96
Butt Out!,96
Company rep,96
Teen MC,96
The Wise One,95
Marklar Leader,95
Postmaster,95
Exec. 2,95
Phillip Stand-in,95
Proctologist,95
Cpt. Gabriel,94
Soldier 3,94
People's Army Leader,94
Ambassador,94
Priest 1,94
Tom Davis,93
Music Instructor,93
Kip's Mom,93
K-10,93
Nancy,93
Bouncer,93
Paul Harris,92
Male Staffer,92
Gary Nelson,92
Lil Kathie Lee,92
Cartman (Butters),92
Russian,92
Runs With Premise,92
Mr. Turner,92
Tech 3,92
Walter Cronkite,92
Pimp 2,92
Umpire,92
Mrs. Gueermo,91
Jay Leno,91
Bobo,91
Mrs. Cotswolds,90
Farmer Carl,90
Mr. Yelman,90
Alton Brown,90
Mrs. Tweek,90
Commentator 1,89
Persian 2,89
Anderson Cooper,89
Director 1,89
Customer,89
Salesman,89
Patsy Ramsey,89
Officer 7,89
Woman 4,88
City Wok Owner,88
Daniel,88
Newt,87
Uriel,87
Top Official,87
Paramedic,87
ATF agent,87
Grant,87
President Calderón,87
CIA Vice Head,87
Don,87
John Walsh,87
Trucker,87
Volunteer,87
Terrance & Phillip,87
Mr. Freely,87
Sony President,87
Adolf,86
Mr. Derp,86
Computer,86
Conan O'Brien,86
Sid,86
HotForBoys219,86
Together,86
Field Reporter 3,86
Dio,86
Kevern Zaksor,86
Pastor Phillips,86
Romanian Official,85
Factory workers,85
Chickadee-y,85
McGillicuddy,85
OC Member 1,85
Psychic,85
Rescuer 1,85
Nathan's Mom,85
Clerk 3,84
News Anchor 2,84
Patron 1,84
Announcer 3,83
Dean Howland,83
Gordon,83
Kid 1,83
Dahmer,83
Liane and Cartman,83
Surgeon-General,83
Cat,83
Kindergartners,82
Fireman,82
Snarf,82
Principal,82
Protesters,82
Betsy MacIntosh,82
George Bush,82
Florence,82
Buddha,82
Butt Out!'s Kyle,82
Vince,81
Ranger Pete,81
Bearded Man,81
Future Cartman,81
Millie,81
Ginger 1,81
Dr. Land,80
Quint 2,80
Louse 12,80
Yao,80
Host 1,80
Country Singer,80
John Travolta,80
Kyan,80
Michael Collins,80
Gunsmith,80
Michael Buffer,80
Joline,80
Sound man,80
Travolta,80
Mall Hankey,79
WCB President,79
Jakovasaur,79
Tweek's Mom,79
Ellen,79
Mr. Varcas,79
Tron Guy,79
Evil Stan,79
Jefferson,79
Phyllis,79
Mr. Bell,79
Robert Smith,78
Sky-fi Reporter,78
Librarian,78
Jimmy Buffett,78
Boy 3,78
Candice,78
Prime Minister,78
Aunt Jemima,78
Ginger Boy,78
Expert 2,78
Uncle Jimbo,78
Fuhrman,78
Trainer 1,77
Maitre D,77
Mormon 2,77
Kitty,77
Hyde,77
Demonius,77
Bailey,76
Teen 1,76
Hippie,76
Walsky,76
Mormon 1,76
Female Reporter,76
Evil Kyle,76
Falsetto,76
Old Monk,76
Police Captain,76
Gordon Stoltski,76
Her crotch,75
Girlfriend,75
Martin,75
Kid 2,75
Spirit,75
Chef's mom,75
Mrs. Feegan,75
Guard 3,75
Hell Director,75
AARP leader,75
Shopper 2,74
Teen Boy,74
Chief Stevens,74
Mr. Allens,74
Mr. Hollis,74
Male CPS Agent,74
Michael Bay,74
Munky,74
Matt Lauer,73
Usher,73
al-Zawahri,73
Rep,73
Geoff,73
Member 2,73
Greeter,73
Mr. Farkle,73
Mousey,73
Lady 1,73
Wise Man,73
Kip's Dad,73
Tom Nelson,73
Burns,72
Gino,72
Woman With Brown Hair,72
Front Desk Officer,72
Michael Jackson,72
Grey Hat,72
